,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
,alpha_1.5_temp_0.5,1.5,0.5,44,4900,0.8948194,1.6138597,1,1.6042702424254232,0.8367837540755669,0.3281990622353429,0.36097102008759974
,alpha_1.5_temp_0.5,1.5,0.5,44,4999,0.8845916,1.6247013,1,1.6036592145202329,0.8363230521976948,0.32589247833933527,0.3588319791654746
,alpha_1.5_temp_0.5,1.5,0.5,45,0,4.3407245,4.335289,1,1.2817392867612882,0.625831593,0.1703594882761439,0.339778137
,alpha_1.5_temp_0.5,1.5,0.5,45,100,2.4396367,2.4546006,1,1.7290457617064243,0.8695782884756724,0.472408023,0.6231112455626329
,alpha_1.5_temp_0.5,1.5,0.5,45,200,2.1879652,2.229828,1,1.859261904,0.8747232552369436,0.4991446597923835,0.6435345856448015
,alpha_1.5_temp_0.5,1.5,0.5,45,300,1.9576151,2.0498784,1,1.915191701,0.8727309965491296,0.50744795,0.6422542413969835
,alpha_1.5_temp_0.5,1.5,0.5,45,400,1.7540071,1.8982956,1,1.8954141077222815,0.8660616245865822,0.49850471274058017,0.6354405286014079
,alpha_1.5_temp_0.5,1.5,0.5,45,500,1.6200637,1.7809312,1,1.9192372793704884,0.8582581667105357,0.5088702805538973,0.6290839523573717
,alpha_1.5_temp_0.5,1.5,0.5,45,600,1.5416601,1.7228794,1,1.8897562535208985,0.853855994,0.49858950074762104,0.6274981405039629
,alpha_1.5_temp_0.5,1.5,0.5,45,700,1.4787747,1.6647881,1,1.8885285543200103,0.8487107885082562,0.49318143967787426,0.6152094559172789
,alpha_1.5_temp_0.5,1.5,0.5,45,800,1.4343468,1.6305425,1,1.888262503760685,0.8460771990716457,0.4927258721751471,0.6032075581848622
,alpha_1.5_temp_0.5,1.5,0.5,45,900,1.397634,1.6001613,1,1.8959778772071019,0.8429807685116927,0.4980786317586899,0.6047445223232111
,alpha_1.5_temp_0.5,1.5,0.5,45,1000,1.3644472,1.5799863,1,1.8599898761022864,0.8417057770689329,0.49297398612275717,0.5953628142724435
,alpha_1.5_temp_0.5,1.5,0.5,45,1100,1.3395898,1.5592036,1,1.894764690185878,0.839641313,0.49864167269567644,0.6036586056898038
,alpha_1.5_temp_0.5,1.5,0.5,45,1200,1.3163811,1.5536473,1,1.8883866625808727,0.8391199546158314,0.49592320605056983,0.6006866020411253
,alpha_1.5_temp_0.5,1.5,0.5,45,1300,1.2988175,1.5362234,1,1.8755439368717903,0.8382556225458782,0.4976431619071712,0.5944488486200571
,alpha_1.5_temp_0.5,1.5,0.5,45,1400,1.2781231,1.523627,1,1.8661283288360027,0.8387431769569714,0.48543901954839624,0.5853119301895301
,alpha_1.5_temp_0.5,1.5,0.5,45,1500,1.2638963,1.5212598,1,1.8745391831871707,0.8363093583186467,0.4919776490951578,0.5877057879318793
,alpha_1.5_temp_0.5,1.5,0.5,45,1600,1.251097,1.5156968,1,1.8779425431122079,0.835819678,0.49215520686904585,0.5867661668558916
,alpha_1.5_temp_0.5,1.5,0.5,45,1700,1.2334082,1.5096798,1,1.9029928243120988,0.8347033382753531,0.4983353521296134,0.5894785010268291
,alpha_1.5_temp_0.5,1.5,0.5,45,1800,1.2194864,1.5032688,1,1.8946282981940081,0.8352065413594246,0.5016784417560944,0.5862785924822093
